iter	Passed	Remaining
492	1142	1174
493	1144	1172
494	1146	1169
495	1148	1166
496	1150	1164
497	1152	1161
498	1154	1159
499	1156	1156
500	1158	1154
501	1161	1152
502	1163	1150
503	1166	1147
504	1168	1145
505	1170	1142
506	1172	1140
507	1174	1137
508	1177	1135
509	1179	1133
510	1181	1130
511	1183	1127
512	1185	1125
513	1187	1122
514	1189	1120
515	1192	1118
516	1194	1115
517	1196	1113
518	1198	1111
519	1200	1108
520	1202	1105
521	1204	1103
522	1206	1100
523	1209	1098
524	1210	1095
525	1213	1093
526	1215	1090
527	1217	1088
528	1220	1086
529	1222	1084
530	1225	1082
531	1227	1079
532	1229	1077
533	1232	1075
534	1234	1072
535	1236	1070
536	1238	1067
537	1241	1066
538	1243	1063
539	1246	1061
540	1248	1059
541	1250	1056
542	1252	1054
543	1255	1052
544	1257	1050
545	1260	1048
546	1262	1045
547	1264	1043
548	1267	1040
549	1269	1038
550	1272	1036
551	1275	1035
552	1277	1032
553	1279	1030
554	1281	1027
555	1284	1025
556	1286	1022
557	1288	1020
558	1291	1018
559	1293	1016
560	1295	1014
561	1298	1011
562	1300	1009
563	1303	1007
564	1305	1005
565	1308	1003
566	1310	1000
567	1312	998
568	1315	996
569	1317	994
570	1320	992
571	1322	989
572	1324	987
573	1326	984
574	1329	982
575	1331	980
576	1333	977
577	1336	976
578	1339	973
579	1341	971
580	1343	968
581	1345	966
582	1347	964
583	1350	961
584	1352	959
585	1355	957
586	1356	954
587	1358	952
588	1361	950
589	1363	947
590	1366	945
591	1369	943
592	1371	941
593	1374	939
594	1376	937
595	1378	934
596	1380	932
597	1382	929
598	1385	927
599	1387	925
600	1389	922
601	1391	920
602	1393	917
603	1395	915
604	1398	912
605	1400	910
606	1403	908
607	1405	905
608	1407	903
609	1409	901
610	1411	898
611	1414	896
612	1417	894
613	1419	892
614	1421	889
615	1423	887
616	1425	884
617	1427	882
618	1429	880
619	1432	877
620	1434	875
621	1436	872
622	1438	870
623	1440	867
624	1442	865
625	1444	863
626	1447	861
627	1449	858
628	1452	856
629	1453	853
630	1455	851
631	1457	848
632	1459	846
633	1462	844
634	1465	842
635	1467	839
636	1469	837
637	1471	834
638	1473	832
639	1475	829
640	1477	827
641	1480	825
642	1482	823
643	1484	820
644	1486	818
645	1489	816
646	1491	813
647	1493	811
648	1495	808
649	1498	806
650	1500	804
651	1502	801
652	1504	799
653	1506	796
654	1508	794
655	1510	792
656	1513	790
657	1515	787
658	1517	785
659	1519	782
660	1521	780
661	1523	777
662	1525	775
663	1528	773
664	1530	770
665	1532	768
666	1534	766
667	1536	763
668	1538	761
669	1540	758
670	1542	756
671	1545	754
672	1547	751
673	1549	749
674	1551	747
675	1553	744
676	1555	742
677	1558	739
678	1560	737
679	1562	735
680	1564	732
681	1566	730
682	1568	727
683	1570	725
684	1572	723
685	1574	720
686	1577	718
687	1579	716
688	1581	713
689	1583	711
690	1585	708
691	1587	706
692	1589	704
693	1591	701
694	1593	699
695	1595	696
696	1597	694
697	1599	692
698	1601	689
699	1604	687
700	1606	685
701	1608	682
702	1610	680
703	1613	678
704	1615	675
705	1617	673
706	1619	671
707	1621	668
708	1623	666
709	1625	664
710	1628	661
711	1630	659
712	1632	657
713	1634	654
714	1636	652
715	1638	650
716	1640	647
717	1644	645
718	1646	643
719	1648	641
720	1650	638
721	1652	636
722	1655	634
723	1657	631
724	1659	629
725	1661	627
726	1663	624
727	1665	622
728	1667	619
729	1669	617
730	1671	615
731	1673	612
732	1675	610
733	1677	607
734	1679	605
735	1682	603
736	1684	600
737	1685	598
738	1688	596
739	1690	593
740	1691	591
741	1694	589
742	1696	586
743	1698	584
744	1700	581
745	1702	579
746	1704	577
747	1706	574
748	1708	572
749	1710	570
750	1712	567
751	1714	565
752	1716	563
753	1718	560
754	1720	558
755	1722	555
756	1724	553
757	1726	551
758	1728	548
759	1731	546
760	1733	544
761	1735	542
762	1738	539
763	1740	537
764	1742	535
765	1744	532
766	1746	530
767	1748	528
768	1751	526
769	1753	523
770	1755	521
771	1757	518
772	1759	516
773	1761	514
774	1763	511
775	1765	509
776	1767	507
777	1769	505
778	1772	502
779	1774	500
780	1776	498
781	1778	495
782	1780	493
783	1783	491
784	1785	488
785	1787	486
786	1789	484
787	1791	481
788	1792	479
789	1794	477
790	1797	474
791	1799	472
792	1801	470
793	1803	468
794	1806	465
795	1808	463
796	1810	461
797	1812	458
798	1814	456
799	1816	454
800	1818	451
801	1820	449
802	1822	447
803	1824	444
804	1826	442
805	1828	440
806	1830	437
807	1833	435
808	1835	433
809	1837	431
810	1840	428
811	1843	426
812	1848	425
813	1853	423
814	1857	421
815	1861	419
816	1863	417
817	1866	415
818	1868	412
819	1870	410
820	1872	408
821	1874	405
822	1876	403
823	1878	401
824	1880	398
825	1882	396
826	1884	394
827	1887	391
828	1889	389
829	1891	387
830	1892	384
831	1894	382
832	1896	380
833	1899	377
834	1901	375
835	1903	373
836	1905	371
837	1907	368
838	1909	366
839	1912	364
840	1914	361
841	1916	359
842	1918	357
843	1921	355
844	1923	352
845	1925	350
846	1927	348
847	1929	345
848	1932	343
849	1934	341
850	1936	339
851	1938	336
852	1941	334
853	1943	332
854	1946	330
855	1948	327
856	1950	325
857	1952	323
858	1954	320
859	1957	318
860	1959	316
861	1961	314
862	1963	311
863	1966	309
864	1968	307
865	1970	304
866	1972	302
867	1974	300
868	1976	298
869	1978	295
870	1980	293
871	1982	291
872	1984	288
873	1986	286
874	1988	284
875	1990	281
876	1993	279
877	1995	277
878	1997	275
879	1999	272
880	2001	270
881	2003	268
882	2005	265
883	2007	263
884	2010	261
885	2012	258
886	2014	256
887	2016	254
888	2018	252
889	2020	249
890	2022	247
891	2024	245
892	2026	242
893	2029	240
894	2031	238
895	2033	236
896	2035	233
897	2037	231
898	2040	229
899	2042	226
900	2044	224
901	2047	222
902	2049	220
903	2051	217
904	2053	215
905	2054	213
906	2057	210
907	2059	208
908	2061	206
909	2063	204
910	2065	201
911	2067	199
912	2069	197
913	2072	194
914	2074	192
915	2076	190
916	2078	188
917	2081	185
918	2083	183
919	2085	181
920	2087	179
921	2089	176
922	2092	174
923	2094	172
924	2096	169
925	2098	167
926	2100	165
927	2102	163
928	2104	160
929	2106	158
930	2108	156
931	2110	154
932	2112	151
933	2114	149
934	2116	147
935	2118	144
936	2120	142
937	2122	140
938	2124	138
939	2127	135
940	2129	133
941	2131	131
942	2133	128
943	2134	126
944	2136	124
945	2139	122
946	2141	119
947	2143	117
948	2145	115
949	2147	113
950	2149	110
951	2151	108
952	2153	106
953	2155	103
954	2157	101
955	2159	99
956	2161	97
957	2164	94
958	2166	92
959	2168	90
960	2170	88
961	2172	85
962	2174	83
963	2176	81
964	2178	79
965	2180	76
966	2182	74
967	2184	72
968	2187	69
969	2189	67
970	2191	65
971	2193	63
972	2195	60
973	2197	58
974	2199	56
975	2201	54
976	2203	51
977	2205	49
978	2207	47
979	2209	45
980	2211	42
981	2213	40
982	2215	38
983	2217	36
984	2219	33
985	2221	31
986	2223	29
987	2225	27
988	2227	24
989	2230	22
990	2232	20
991	2234	18
992	2236	15
993	2238	13
994	2240	11
995	2242	9
996	2245	6
997	2247	4
998	2249	2
999	2251	0
