iter	RMSE
164	451845.6571
165	451795.0781
166	451691.5871
167	451627.3658
168	451599.7713
169	451508.4381
170	451455.9613
171	451370.7051
172	451360.8804
173	451311.1637
174	451164.6067
175	451124.3068
176	451079.5995
177	450993.8761
178	450931.2388
179	450895.4987
180	450764.9941
181	450715.1309
182	450608.9415
183	450590.9494
184	450566.063
185	450451.0395
186	450419.5702
187	450357.0009
188	450303.0241
189	450249.2754
190	450218.5483
191	450159.2007
192	450084.6418
193	450062.4307
194	450037.0287
195	449985.3591
196	449941.8645
197	449855.6438
198	449830.9116
199	449737.4587
200	449676.5615
201	449605.605
202	449598.8787
203	449541.1774
204	449385.9691
205	449302.7032
206	449280.8333
207	449211.1839
208	449160.4188
209	449122.8436
210	449118.0782
211	449065.3118
212	449059.6087
213	448972.2026
214	448895.4674
215	448856.9888
216	448803.9484
217	448772.8346
218	448688.3938
219	448650.9616
220	448556.5209
221	448460.1604
222	448393.0851
223	448337.0528
224	448235.7732
225	448223.6867
226	448132.1489
227	448058.7164
228	448031.6639
229	447961.5805
230	447906.5746
231	447902.1286
232	447869.1767
233	447846.104
234	447803.0458
235	447761.4448
236	447700.4547
237	447645.7347
238	447519.7889
239	447478.3627
240	447403.6053
241	447338.5138
242	447317.9714
243	447258.921
244	447254.7261
245	447197.0203
246	447186.6895
247	447122.7306
248	447111.8271
249	447074.9762
250	447016.5536
251	446958.3138
252	446934.8456
253	446925.7394
254	446859.3751
255	446749.3662
256	446741.2166
257	446718.9936
258	446675.1043
259	446630.5869
260	446580.4042
261	446546.3286
262	446471.4242
263	446469.0643
264	446430.5123
265	446370.2446
266	446355.8164
267	446339.203
268	446299.1096
269	446264.9466
270	446234.0833
271	446179.8549
272	446112.6609
273	445911.8436
274	445869.0877
275	445843.2525
276	445777.2439
277	445774.3329
278	445712.2861
279	445710.4464
280	445691.7049
281	445648.731
282	445636.3584
283	445590.5481
284	445505.6678
285	445458.2322
286	445429.2679
287	445362.3911
288	445341.6537
289	445308.7573
290	445296.1427
291	445259.2798
292	445091.685
293	445022.898
294	445010.8767
295	444968.3369
296	444913.7304
297	444871.0047
298	444838.3666
299	444822.3903
300	444787.0694
301	444743.3256
302	444596.4135
303	444560.5395
304	444531.5814
305	444516.1209
306	444469.6643
307	444438.407
308	444427.6957
309	444362.8297
310	444317.2653
311	444275.8239
312	444260.324
313	444228.4278
314	444220.3886
315	444218.7134
316	444155.6494
317	444093.4809
318	444055.6427
319	444029.1449
320	443999.2202
321	443978.3319
322	443942.5027
323	443904.9649
324	443879.0934
325	443846.9829
326	443830.269
327	443771.0895
328	443699.1714
329	443671.9378
330	443587.1728
331	443536.306
332	443464.1042
333	443449.9891
334	443408.1986
335	443390.136
336	443338.9284
337	443308.4775
338	443302.9465
339	443249.4335
340	443229.1832
341	443175.9373
342	443167.227
343	443157.8376
344	443116.7596
345	443064.6382
346	443033.1347
347	443002.7249
348	442905.99
349	442871.9292
350	442822.566
351	442799.3979
352	442787.5116
353	442710.1428
354	442699.585
355	442695.37
356	442666.1666
357	442634.0564
358	442611.9097
359	442575.9095
360	442510.468
361	442484.0226
362	442407.0528
363	442371.9101
364	442329.3865
365	442285.8745
366	442255.2502
367	442227.8722
368	442227.4098
369	442196.0465
370	442175.5725
371	442154.7202
372	442129.8356
373	442129.1962
374	442097.608
375	442041.3191
376	442014.1192
377	442009.5762
378	442005.6149
379	441955.4639
380	441934.0396
381	441916.3849
382	441887.2438
383	441862.696
384	441817.9025
385	441747.2134
386	441702.8702
387	441674.4341
388	441580.1669
389	441552.8382
390	441528.1549
391	441495.5393
392	441466.3793
393	441448.5643
394	441436.613
395	441395.6636
396	441385.7464
397	441370.8214
398	441332.3786
399	441323.9398
400	441295.216
401	441287.7221
402	441264.7839
403	441235.1664
404	441188.3747
405	441175.6264
406	441142.8632
407	441123.9706
408	441094.4917
409	441061.5702
410	441053.5812
411	441002.4738
412	440987.3186
413	440942.1718
414	440908.0688
415	440880.6997
416	440853.6275
417	440830.4077
418	440755.7805
419	440733.7527
420	440710.4946
421	440687.9727
422	440645.4848
423	440633.6156
424	440583.9884
425	440518.5156
426	440515.3532
427	440462.195
428	440439.7835
429	440387.0296
430	440350.2549
431	440290.6204
432	440274.346
433	440226.7227
434	440170.634
435	440142.4244
436	440132.2371
437	440102.1575
438	440080.3887
439	440068.0012
440	440028.1052
441	440005.6827
442	439982.2554
443	439946.0532
444	439945.4303
445	439902.7449
446	439869.5967
447	439845.565
448	439819.8734
449	439778.5397
450	439737.767
451	439698.3466
452	439683.0613
453	439649.2992
454	439634.2188
455	439620.053
456	439583.6398
457	439564.8471
458	439546.4676
459	439517.8474
460	439497.0459
461	439477.6944
462	439457.5022
463	439419.9623
464	439392.3669
465	439370.3067
466	439347.0173
467	439335.3255
468	439322.9067
469	439304.3046
470	439281.9828
471	439251.5466
472	439226.9964
473	439192.5799
474	439144.8617
475	439087.2303
476	439072.3199
477	439060.7552
478	439050.5238
479	439022.3723
480	439012.6148
481	439012.2533
482	438990.5912
483	438961.8019
484	438910.4604
485	438887.7668
486	438887.4232
487	438867.4908
488	438834.9621
489	438818.4192
490	438803.7622
491	438733.4779
492	438687.1027
493	438637.1263
494	438607.2805
495	438588.7237
496	438567.0025
497	438549.988
498	438466.9008
499	438465.3884
500	438442.9237
501	438427.1879
502	438408.1023
503	438386.9573
504	438371.1565
505	438352.325
506	438314.942
507	438302.809
508	438284.0061
509	438269.9321
510	438254.1588
511	438208.6459
512	438182.9673
513	438165.3585
514	438150.7581
515	438128.6435
516	438119.195
517	438110.0781
518	438083.1146
519	438057.6925
520	438034.5272
521	437991.0728
522	437969.2017
523	437948.9096
524	437948.6177
525	437931.3294
526	437864.2585
527	437844.6041
528	437814.1548
529	437801.8705
530	437780.2801
531	437778.3905
532	437756.367
533	437703.7724
534	437669.6039
535	437653.6869
536	437604.0809
537	437562.5239
538	437540.2277
539	437497.1203
540	437460.9517
541	437434.2381
542	437423.8776
543	437414.1326
544	437390.0553
545	437287.369
546	437271.2693
547	437245.884
548	437219.6388
549	437219.1828
550	437203.6329
551	437167.7059
552	437141.9458
553	437138.5303
554	437114.9623
555	437113.6995
556	437100.8235
557	437079.785
558	437062.342
559	437054.9725
560	437032.1145
561	437001.38
562	436982.6915
563	436949.3763
564	436936.564
565	436916.8344
566	436900.2707
567	436884.4174
568	436858.8247
569	436858.3995
570	436855.1901
571	436854.769
572	436841.6158
573	436799.4367
574	436769.7208
575	436742.6557
576	436720.6225
577	436687.9511
578	436668.0005
579	436645.0749
580	436622.9338
581	436616.5582
582	436577.4282
583	436555.1684
584	436535.025
585	436510.8624
586	436510.4565
587	436502.1563
588	436494.513
589	436478.5397
590	436408.8487
591	436396.9281
592	436384.0404
593	436349.9485
594	436349.5672
595	436348.4197
596	436335.1225
597	436304.3793
598	436295.7518
599	436263.6133
600	436237.9246
601	436169.353
602	436143.3414
603	436103.3623
604	436091.6578
605	436051.39
606	436026.5
607	436010.9825
608	435997.7394
609	435986.2799
610	435964.1949
611	435959.5822
612	435937.7379
613	435933.0354
614	435914.4043
615	435902.1256
616	435893.2007
617	435862.4534
618	435836.7687
619	435814.5278
620	435809.0656
621	435771.6846
622	435750.4682
623	435701.5804
624	435671.505
625	435663.7953
626	435630.8931
627	435626.0241
628	435595.6004
629	435591.3654
630	435563.4195
631	435531.6526
632	435531.3267
633	435519.806
634	435489.9366
635	435457.78
636	435437.5816
637	435403.7624
638	435372.0119
639	435350.3814
640	435322.7397
641	435306.4882
642	435259.4205
643	435248.1069
644	435242.5229
645	435202.2334
646	435154.9202
647	435144.061
648	435119.3823
649	435093.5646
650	435069.6719
651	435042.6737
652	435018.9027
653	434986.8282
654	434939.0635
655	434931.7428
656	434872.7065
657	434841.4766
658	434830.0613
659	434799.4584
660	434796.0252
661	434771.0527
662	434770.7239
663	434745.494
664	434680.8904
665	434676.7171
666	434661.8516
667	434624.4586
668	434620.3056
669	434617.2616
670	434605.2775
671	434564.61
672	434546.6619
673	434521.7929
674	434517.1117
675	434509.442
676	434503.191
677	434458.6051
678	434437.6282
679	434434.3202
680	434394.6569
681	434384.2593
682	434369.8797
683	434354.5508
684	434336.7512
685	434299.6438
686	434262.3601
687	434245.9115
688	434234.1571
689	434200.2239
690	434162.886
691	434162.6146
692	434138.482
693	434111.2362
694	434098.3615
695	434039.9141
696	434002.1021
697	433986.3662
698	433963.414
699	433954.0449
700	433939.5151
701	433917.411
702	433911.1621
703	433894.8547
704	433872.6466
705	433825.5284
706	433798.0239
707	433777.9127
708	433753.8974
709	433739.6457
710	433727.0142
711	433702.8899
712	433645.2992
713	433630.5008
714	433595.7652
715	433571.4335
716	433551.926
717	433539.3936
718	433495.8044
719	433488.1629
720	433473.6156
721	433468.4302
722	433456.5515
723	433437.0653
724	433429.9276
725	433402.1947
726	433384.8782
727	433366.3241
728	433360.3078
729	433343.3014
730	433321.6756
731	433320.8769
732	433309.4505
733	433300.4143
734	433283.4833
735	433252.8394
736	433240.8738
737	433233.4926
738	433206.9679
739	433193.7056
740	433190.9611
741	433186.7305
742	433159.1672
743	433145.7278
744	433115.3602
745	433098.5004
746	433064.8073
747	433036.9318
748	433026.6419
749	433010.9263
750	432986.3959
751	432949.8597
752	432933.7843
753	432916.1916
754	432905.1412
755	432890.7644
756	432882.3229
757	432857.888
758	432780.3611
759	432750.6131
760	432730.2015
761	432703.4075
762	432690.1413
763	432677.006
764	432669.73
765	432655.4267
766	432623.032
767	432612.8477
768	432606.4768
769	432606.2618
770	432593.5656
771	432568.2287
772	432551.9195
773	432523.4738
774	432503.7417
775	432458.0933
776	432445.9582
777	432405.9195
778	432382.7607
779	432364.5323
780	432355.4745
781	432324.6131
782	432304.8676
783	432294.3935
784	432276.6328
785	432260.1545
786	432214.9796
787	432214.2789
788	432213.9848
789	432182.4573
790	432165.66
791	432165.461
792	432149.0414
793	432137.6616
794	432123.6704
795	432111.6694
796	432098.6027
797	432087.1567
798	432068.1244
799	432068.0369
800	432054
801	432029.517
802	432020.6971
803	432002.1121
804	431976.075
805	431965.2143
806	431965.1415
807	431940.9197
808	431914.9665
809	431865.525
810	431841.5795
811	431808.5389
812	431782.8525
813	431763.3799
814	431749.8628
815	431749.6919
816	431731.0531
817	431719.5055
818	431707.8282
819	431685.1684
820	431658.0271
821	431657.8273
822	431629.9945
823	431590.8844
824	431567.1357
825	431533.2682
826	431502.9102
827	431465.3912
828	431435.9409
829	431416.3421
830	431416.2712
831	431402.3903
832	431371.8633
833	431334.0008
834	431326.1531
835	431292.5233
836	431260.9696
837	431239.8348
838	431219.5779
839	431202.4229
840	431191.7192
841	431191.5465
842	431185.0765
843	431157.6227
844	431153.5983
845	431135.893
846	431115.3928
847	431101.5249
848	431083.2488
849	431039.8659
850	431014.3471
851	431001.8586
852	430987.0737
853	430966.7342
854	430959.2866
855	430927.3256
856	430914.7361
857	430904.61
858	430898.4125
859	430887.6818
860	430847.2117
861	430837.6838
862	430832.6703
863	430819.4445
864	430799.5759
865	430782.4469
866	430748.5862
867	430718.9759
868	430718.7612
869	430704.6952
870	430695.83
871	430695.6661
872	430674.9761
873	430642.938
874	430617.3014
875	430614.1198
876	430587.4288
877	430565.4982
878	430535.9255
879	430535.7153
880	430524.0684
881	430499.8066
882	430487.3998
883	430469.32
884	430459.7596
885	430450.7826
886	430435.4784
887	430428.4745
888	430414.3017
889	430405.3376
890	430369.4501
891	430359.92
892	430353.1789
893	430332.9718
894	430312.9239
895	430290.9164
896	430268.8702
897	430247.1986
898	430214.2112
899	430189.2036
900	430159.5037
901	430143.3613
902	430134.6389
903	430129.0158
904	430122.019
905	430111.0414
906	430084.3946
907	430038.855
908	430031.2179
909	430017.3597
910	429993.8059
911	429973.9585
912	429964.0532
913	429953.7391
914	429932.2052
915	429923.3498
916	429904.5516
917	429894.439
918	429879.167
919	429874.1675
920	429866.2683
921	429845.6787
922	429830.956
923	429814.0694
924	429801.5145
925	429799.1062
926	429774.4763
927	429764.6226
928	429743.0166
929	429723.588
930	429692.2471
931	429684.1709
932	429684.0776
933	429677.2597
934	429670.102
935	429657.0145
936	429630.8726
937	429622.4631
938	429600.6241
939	429595.6905
940	429595.6437
941	429585.0017
942	429576.8501
943	429576.7602
944	429559.3292
945	429542.663
946	429519.5775
947	429493.4341
948	429464.4032
949	429453.5264
950	429439.0579
951	429412.5108
952	429412.4812
953	429369.2759
954	429332.1372
955	429314.768
956	429295.7893
957	429291.2525
958	429279.5367
959	429273.6701
960	429262.5828
961	429248.1966
962	429241.6819
963	429233.5417
964	429213.9044
965	429185.9932
966	429174.6665
967	429157.1753
968	429145.3388
969	429141.8749
970	429125.9403
971	429112.7314
972	429086.2864
973	429080.7265
974	429061.5564
975	429021.916
976	429016.2456
977	429005.735
978	428995.0531
979	428985.2922
980	428981.0541
981	428975.9893
982	428975.862
983	428966.1992
984	428948.2565
985	428912.7328
986	428902.5257
987	428900.4429
988	428890.6582
989	428833.4488
990	428808.1221
991	428798.7321
992	428779.3309
993	428757.3849
994	428723.9596
995	428700.0851
996	428692.944
997	428692.8199
998	428668.4317
999	428647.663
